Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Retweet Count,Country
2020-09-16 17:15:37+00:00,1306280592624021505,"I understand the feelings of confusion and uncertainty, the anxiety that many people are feeling. I understand and, first and foremost, want to apologize for that. On a personal level, I ask your forgiveness for my behavior here at Beit HaNasi during the lockdown during Pesach.",PresidentRuvi,405,11,79,Israel
2020-08-31 16:28:16+00:00,1300470469200617472,"Working meeting with Alternate PM and Minister of Defense @gantzbe discussing the security situation n the south and north of the country,  new opportunities with the normalization of relations with UAE and @IDF efforts to dealing with the #Coronavirus pandemic. https://t.co/CuwE8u7fCQ",PresidentRuvi,54,3,10,Israel
2020-08-24 10:56:52+00:00,1297850354424516609,"We have learned recently that we cannot live in a bubble, unaware  of those around us. Today, at the @TelAviv-Yafo municipality's #coronavirus control room, I met people who work for others, for all those among us who are finding things tough. https://t.co/40DMzgyOzN",PresidentRuvi,50,9,14,Israel
2020-07-15 09:40:52+00:00,1283335714789261312,"Meeting today with Health Minister @YuliEdelstein and D-G of @IsraelMOH who briefed me on current patient numbers and efforts to halt the spread of the virus.
Beit HaNasi will assist the ministry in any way required. I am confident will get through these tough times together. https://t.co/M6XWTcdBym",PresidentRuvi,36,3,12,Israel
2020-07-08 12:55:46+00:00,1280848047271010304,"Receiving diplomatic credentials, in a different and smaller ceremony in line with coronavirus restrictions, from new #ambassadors to #Israel. Welcome to the ambassadors of Colombia 🇨🇴 Greece 🇬🇷 Denmark 🇩🇰 Romania 🇷🇴 and Argentina 🇦🇷!
@IsraelMFA https://t.co/HB57Tp6s5r",PresidentRuvi,125,7,45,Israel
2020-07-06 11:53:04+00:00,1280107495898451969,"Visiting Eilat, Israel's tourism capital where the sun always shines, this morning. I met residents, hoteliers and business people who are dealing with coronavirus. 
Holiday in Israel, if you can - in hotels, tents or guesthouses - all according to the guidelines, of course! https://t.co/d8Q0Xh7bGK",PresidentRuvi,84,9,7,Israel
2020-07-02 10:17:11+00:00,1278633814240174080,"It was a pleasure to speak to President @s_sommaruga of #Switzerland, a long-standing friend of Israel. We spoke about the coronavirus pandemic in our countries, about areas of cooperation in fighting it and about the regional challenges we face at this time.",PresidentRuvi,35,6,12,Israel
2020-06-25 18:38:48+00:00,1276223333055500290,"You, the men and women graduates @IAFsite flight school's 180th course, overcame all obstacles, touched the blue beyond and proved that for you the sky is no limit. We are proud of you. Spread your wings, fly high and come home safely. https://t.co/cBnKMYIleS",PresidentRuvi,33,5,9,Israel
2020-06-18 14:05:21+00:00,1273617801941528578,"Visiting the laboratories of the Brain Sciences Center at the Hebrew University of Jerusalem today, where they are doing groundbreaking work to fight coronavirus, https://t.co/M0RxXK7bpI",PresidentRuvi,47,5,14,Israel
2020-06-17 07:50:10+00:00,1273160994823561216,Holding a first working meeting since the outbreak of #coronavirus today with @PrimeministerGR Kyriakos Mitsotakis. His visit in these challenging days is further testimony to the strong relations between our countries. I hope flights between Tel Aviv and Athens resume soon 🇮🇱🇬🇷 https://t.co/VFzDGFgFgW,PresidentRuvi,55,5,23,Israel
