Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Country
2021-02-22 16:53:00+00:00,1363894570912776194,"Hay que reconocer y reparar los fallos que han socavado a nuestras sociedades. Insto a los Estados al análisis de su propio historial, respecto al impacto de sus acciones para acabar con la discriminación, reducir la desigualdad y garantizar la participación pública.",mbachelet,907,188,Chile
2021-02-22 15:34:00+00:00,1363874690008145924,"We must acknowledge and repair the fractures that are undermining the resilience of our societies. I call on States to take a clear look at their own record, in terms of impact to end discrimination, redress inequalities, and ensure public participation.",mbachelet,183,37,Chile
2021-02-22 14:26:00+00:00,1363857576966778889,"La pandemia está lejos de haber terminado, y sus efectos sobre las economías, las libertades, las sociedades y las personas no han hecho más que empezar. Ahora debemos actuar urgentemente para preparar la recuperación dando prioridad a los derechos humanos.",mbachelet,2488,257,Chile
2021-02-22 13:13:00+00:00,1363839205974052867,"The pandemic is not over – its impacts on economies, freedoms, societies, and people have just begun. We need urgent action to prepare the recovery by prioritising human rights.

#StandUp4HumanRights",mbachelet,483,70,Chile
2021-02-20 14:58:00+00:00,1363140854286721024,"La justicia y la protección social están estrechamente relacionadas. Niñas y niños, mujeres y hombres, deben tener:
✅ Igualdad de condiciones
✅ Igualdad de oportunidades
✅ IGUALDAD DE DERECHOS

#DíaDeLaJusticiaSocial",mbachelet,406,110,Chile
2021-02-20 13:57:00+00:00,1363125503088066567,"Social justice and social protection are closely linked. Girls and boys, women and men, EVERYWHERE, must have:
✅ Equal conditions
✅ Equal opportunities
✅ EQUAL RIGHTS

#SocialJusticeDay",mbachelet,586,130,Chile
2021-02-18 14:54:00+00:00,1362415071968849927,"A pesar del gran impacto de la #COVID19 en la juventud de todo el mundo, los jóvenes están allanando el camino para el cambio que buscamos. Desde la educación hasta el empleo, los DDHH de los jóvenes deben ser prioritarios en el proceso de recuperación de la pandemia, y después.",mbachelet,500,132,Chile
2021-02-18 13:42:00+00:00,1362396952634286080,"Despite the major impacts of #COVID19 on youth worldwide, young people are actively paving the way for change. From education to employment, youth human rights must be prioritised in the pandemic recovery process, and afterwards.",mbachelet,318,46,Chile
2021-02-15 14:41:00+00:00,1361324636823166980,Una emergencia sanitaria global exige una respuesta global. Me uno al llamamiento de @DrTedros y @unicefchief para la #EquidadVacunal. Necesitamos que todos los Estados empiecen a desplegar vacunas al personal sanitario y aquellos en mayor riesgo en los primeros 100 días de 2021.,mbachelet,386,74,Chile
2021-02-15 13:40:19+00:00,1361309365022654464,"A global health emergency demands a global response.
I join @DrTedros' &amp; @unicefchief's call for #VaccinEquity.

We need all States to start rolling out vaccines to health workers and those most at risk in the first 100 days of 2021.

",mbachelet,281,69,Chile
2021-02-12 15:03:00+00:00,1360243010064244748,Que quede claro: el uso indiscriminado de armas letales o menos letales contra manifestantes pacíficos es inaceptable en cualquier lugar y bajo cualquier circunstancia.,mbachelet,4760,1434,Chile
