Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Retweet Count,Country
2020-12-09 18:02:00+00:00,1336732845402857473,"This health team is made up of world-class experts at the top of their fields who are ready on day one to get the pandemic under control so we can get back to work, back to our lives, and back to our loved ones. https://t.co/acwVxRQS6x",JoeBiden,25936,1464,2306,USA
2020-12-09 02:20:00+00:00,1336495783038701568,"Out of our collective pain, we will find our collective purpose: to control the pandemic, to save lives, and to heal as a nation.",JoeBiden,190430,13236,11943,USA
2020-12-09 01:20:00+00:00,1336480683561140224,"Dr. Fauci is trusted, a truth teller, and a patriot. I’m grateful he’ll be a key member of my COVID team as we work to get this virus under control. https://t.co/kFpeuNbXbc",JoeBiden,46316,2500,3772,USA
2020-12-08 23:45:00+00:00,1336456776162529280,"Today, I'm announcing key COVID-19 priorities for the first 100 days of my administration:

- Everyone wears a mask
- 100 million vaccinations
- Reopen the majority of schools

With these steps, we can change the course of the disease and change life in America for the better.",JoeBiden,125152,15079,9557,USA
2020-12-08 18:54:57+00:00,1336383784128708609,"I need a team that’s ready on day one to contain the pandemic and ensure everyone has access to quality, affordable health care. This is that team. Tune in as I introduce them for the first time. https://t.co/FhbbTa7xEo",JoeBiden,28567,2247,3196,USA
2020-12-07 17:45:00+00:00,1336003791183818753,"Dr. Fauci isn't just one of our foremost experts on combating viruses—he is a good man and a tireless public servant. He has served six presidents and led us through some of our toughest challenges.

Our administration, and our country, will be stronger because of his guidance.",JoeBiden,179204,6862,13834,USA
2020-12-07 01:30:00+00:00,1335758425284874240,I promise you this: I will spare no effort — or commitment — to end this pandemic.,JoeBiden,287864,16814,15615,USA
2020-12-06 16:17:00+00:00,1335619257376247811,"With COVID-19 cases rising across the nation, we need to ramp up our production of personal protective equipment. We have to ensure our brave health care workers have everything they need to safely battle this virus.",JoeBiden,123861,5171,9565,USA
2020-12-05 14:50:00+00:00,1335234975411499008,"Our country is in the middle of a dramatic spike in COVID-19 cases. Please wear a mask, keep social distancing, and limit the size of any groups. It’s our patriotic duty as Americans.",JoeBiden,240691,9523,22218,USA
2020-12-05 00:15:00+00:00,1335014774472663043,"On the day I’m inaugurated, I’ll call on the public to wear a mask for 100 days.

Let’s keep our fellow Americans safe and save lives. https://t.co/HrMbxNgXrw",JoeBiden,77063,7741,6122,USA
2020-12-04 17:50:00+00:00,1334917885978882050,"As soon as Dr. Fauci declares we have a safe vaccine, I’ll take it. https://t.co/A3peYhhOvR",JoeBiden,71271,3170,5379,USA
2020-12-03 19:01:00+00:00,1334573366410264577,"Once a vaccine is ready and approved, @KamalaHarris and I are going to ensure it’s distributed equitably, efficiently, and free of charge to every American.",JoeBiden,346206,24746,23580,USA
2020-12-03 16:10:00+00:00,1334530332167729154,"Yesterday, I spent the afternoon hearing from workers and small business owners on the economic impact COVID-19 has had on their lives. Americans are hurting — it’s why as president, I’ll work to provide immediate relief and get our economy back on track. https://t.co/Cyw0DhJCpP",JoeBiden,52368,3535,4309,USA
2020-11-30 17:43:00+00:00,1333466572913041408,"We have no time to lose to address the economic crisis we face and build our economy back better.

This team will be ready on Day One to pull every lever of government to help those hardest hit by COVID-19 and right the structural inequalities in our economy. https://t.co/cQ2MqV0mIW",JoeBiden,30240,2960,3551,USA
2020-11-29 16:42:00+00:00,1333088833806630913,Let me be clear: Wearing a mask is not about making your life less comfortable or taking something away. It’s to give something back to all of us — a normal life.,JoeBiden,710961,24794,68454,USA
2020-11-28 16:58:00+00:00,1332730472351240192,"Small businesses are the backbone of communities across the country — and amid the pandemic, they need our help more than ever. Today, and every day, support your neighbors and strengthen your community by shopping small. #SmallBusinessSaturday https://t.co/MG9fwMi2sQ",JoeBiden,88199,4988,7425,USA
2020-11-27 19:33:00+00:00,1332407091953364996,"This is the moment where we need to steel our spines, redouble our efforts, and recommit ourselves to the fight against COVID-19.

Let’s remember: We are all in this together. https://t.co/eliNEe7XCL",JoeBiden,65072,4513,6282,USA
2020-11-25 18:09:30+00:00,1331661304512253954,"The COVID-19 pandemic has made matters worse, creating a “shadow pandemic” for many women and girls who are largely confined to their home with their abuser and facing economic insecurity that makes escape more difficult.",JoeBiden,47639,784,3480,USA
2020-11-25 16:10:00+00:00,1331631229414772738,The challenge before us right now is immense — we need bold action to fight this pandemic. That’s why @KamalaHarris and I are getting right to work preparing to get this virus under control.,JoeBiden,149113,8540,10088,USA
2020-11-25 02:10:00+00:00,1331419836325515264,"I believe America is strongest when we work with our allies.

It's how we keep this country safe, counter terrorism and extremism, control this pandemic, deal with the climate crisis, and so much more.",JoeBiden,174386,10874,10833,USA
2020-11-24 02:47:00+00:00,1331066759735091203,"Vice President-elect @KamalaHarris and I spent the afternoon meeting with a bipartisan group of mayors. It was just the start of what I know will be a strong partnership in the months and years ahead. Together, we’re going to beat COVID-19 and build back better. https://t.co/2oiKD7gxAi",JoeBiden,81569,3216,5583,USA
2020-11-21 17:00:01+00:00,1330194266375720965,Anyone who wants a COVID-19 test should be able to get one. Period.,JoeBiden,1031573,30626,54516,USA
2020-11-20 02:45:00+00:00,1329616705061068807,"To the families and friends of those we've lost due to COVID-19 — Jill and I send our love and prayers.

We know how tough it is to find purpose in the memory of the loved one you lost. It will take time — but you will find it, and we will find our purpose as a nation. https://t.co/paD7CcG8ns",JoeBiden,81222,3957,7669,USA
2020-11-20 00:46:00+00:00,1329586757709414408,Wearing a mask isn't a political statement — it's a patriotic duty.,JoeBiden,1224905,32482,99040,USA
